SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,IndicesOfCodeSwitchedWordInTranslation,IndicesOfPunctuationInTranslation,CorpusName
72,1,34,-5.073573,-4.024487,-2.039211,-1.20412,-3.940942,-1.057642,-3.268386,-1.354857,-1.757488,-3.904459,-4.756965,-0.4136933,-1.733541,-4.880099,-5.229438,-1.281033,-3.181928,-2.353503,-5.102371,-2.664124,-0.7359536,-0.243911,-1.90309,-3.724906,-7.204447,-0.9529289,-2.33103,-3.300699,-4.650189,-0.6959124,-5.772305,-2.732813,-4.732251,-1.748606,-0.5504268,,,,,,,,,,,,,,,,,,,,,,,,,,[4_5],[5_15_21_29_33],psucssa
73,1,19,-4.628299,-1.886436,-1.061041,-5.124951,-5.24221,-4.024698,-4.800004,-2.970185,-1.082441,-2.525649,-4.469973,-0.9827564,-5.310009,-3.473592,-1.428022,-3.307163,-2.089316,-3.514092,-1.658145,-0.5904781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4_5],[8_18],psucssa
74,1,7,-3.222314,-2.369772,-7.234301,-5.097632,-0.7960479,-5.906243,-4.78202,-2.941401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3_4],[4],psucssa
75,1,4,-2.715695,-4.294359,-3.08228,-0.1346986,-0.2204455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1_2_3],[3],psucssa
76,1,11,-4.159117,-3.414949,-2.846311,-0.9135835,-2.67592,-3.716029,-5.673309,-3.032765,-4.434278,-2.145304,-0.5762527,-0.4954101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2_3],[3_10],psucssa
77,1,12,-3.065489,-0.6650633,-2.297569,-4.419883,-0.4988647,-5.062278,-5.069318,-1.591452,-0.534119,-5.120634,-6.258813,-5.309579,-3.298992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[9_10_11],[4_8],psucssa
78,1,13,-5.415995,-3.759469,-3.383542,-1.350056,-3.090494,-4.49099,-3.459267,-6.453427,-1.89934,-5.777857,-1.961694,-4.668347,-0.6786942,-0.5195251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6_7_8_9],[3_12],psucssa
79,1,5,-6.100998,-3.756901,-1.418236,#NAME?,-1.427697,-0.4134672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3_4],[4],psucssa
80,1,8,-6.100998,-4.911211,-3.78018,-6.781645,-1.903363,-4.086153,-0.6070808,-3.198392,-0.4870295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[4_5_6_7],[7],psucssa
81,1,17,-3.527254,-3.950003,-2.008718,-2.054617,-3.421732,-3.040821,-3.363766,-2.649482,-4.643576,-1.493358,-4.193159,-6.263366,-1.835447,-1.889696,-5.143658,-1.811156,-0.523432,-2.723231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[10_11_12_13_14_15_16],[7],psucssa
