SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,CorpusName
67,0,14,-2.949325,-4.08952,-3.946731,-3.147068,-3.16557,-3.378657,-4.213127,-2.374137,-6.503232,-1.071063,-5.036249,-2.177056,-1.552137,-1.082441,-0.4581534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
68,0,10,-3.59865,-4.250907,-3.874658,-2.925219,-5.077179,-3.956501,-5.025867,-1.699396,-1.552137,-1.082441,-0.4581534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
69,0,6,-3.29652,-7.319934,-4.73251,-3.361261,-5.047426,-1.068321,-0.4756185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
70,0,7,-4.495176,-4.291955,-2.024161,-5.799016,-6.911109,-4.914227,-3.876806,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
71,0,6,-4.495176,-2.787409,-0.6532125,-4.057603,-3.163018,-1.048687,-0.4978059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
72,0,3,-3.674056,-6.816195,-1.524606,-2.94615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
73,0,4,-4.938874,-5.443449,-5.638311,-1.059058,-0.5752883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
74,0,3,-3.881124,-4.641695,-1.719268,-0.4771213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
75,0,9,-4.717025,-6.502197,-2.346666,-1.425777,-4.052651,-1.567072,-4.614238,-2.592111,-0.7766016,-0.2033382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
76,0,5,-5.336814,-2.180718,-4.785386,-2.611664,-1.183111,-0.4666558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
