SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,CorpusName
47,0,5,-5.177113,-1.743855,-1.835793,-5.179534,-1.119376,-0.6264194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
48,0,8,-3.222314,-1.591621,-1.601642,-6.021773,-3.223316,-1.306866,-5.342692,-0.7988875,-0.2431286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
49,0,4,-2.62365,-2.190285,-2.786067,-6.163753,-2.41492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
50,0,9,-3.699992,-5.007668,-5.874921,-4.559146,-5.854287,-5.386142,-4.038721,-3.119061,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
51,0,6,-4.813935,-4.503881,-6.662841,-0.9265711,-5.018247,-1.246533,-0.6419315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
52,0,7,-5.804013,-3.821517,-2.04961,-2.972203,-7.434418,-4.648609,-2.377849,-0.6173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
53,0,9,-5.177113,-3.702949,-3.979058,-2.369346,-1.424882,-0.4931093,#NAME?,-3.530939,-1.12199,-0.3295804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
54,0,3,-4.366777,-3.99397,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
55,0,4,-4.512905,-2.121626,-1.78842,-2.82258,-3.381335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
56,0,4,-3.527254,-2.296368,-4.523378,-1.658169,-3.699578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
57,0,6,-3.897481,-5.605994,-6.43881,-3.079671,-5.120573,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
58,0,8,-2.949325,-2.601368,-2.465566,-3.758068,-4.573656,-3.53085,-4.016349,-5.190809,-2.19501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
59,0,13,-3.923701,-2.389099,-1.984527,-4.507514,-1.007836,-3.16376,-2.494294,-5.159612,-4.160378,-4.883551,-3.81986,-2.71876,-0.7341495,-0.5703306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
60,0,5,-6.100998,-3.956084,-2.630363,-4.276493,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
61,0,6,-5.688997,-2.670369,-4.009162,-2.630363,-4.276493,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
62,0,5,-3.602192,-5.198499,-5.045175,-5.215227,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
63,0,5,-6.317226,-2.441487,-1.948262,-5.563182,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
64,0,5,-3.602192,-5.198499,-5.045175,-5.215227,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
65,0,5,-5.336814,-4.091387,-4.080336,-6.309322,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
66,0,6,-7.042348,-2.855095,-0.7720771,-6.032559,-2.80888,-0.8880192,-0.3484547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
67,0,4,-3.602192,-7.416123,-5.010413,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
68,0,4,-6.258925,-3.966423,-6.443909,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
69,0,26,-2.677585,-5.505037,-3.238121,-4.308733,-5.538716,-4.306313,-3.95531,-2.722283,-0.8293038,-2.642991,-4.230471,-3.146885,-1.328867,-3.974138,-5.436572,-4.588216,-3.238121,-0.9343712,-4.026604,-0.3017049,-4.022728,-0.4175356,-3.674101,-2.103462,-1.634527,-3.116102,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
70,0,17,-5.160723,-4.76033,-0.9934592,-1.874156,-2.247048,-1.804162,-4.022158,-2.099705,-1.10251,-3.171417,-4.076296,-3.630172,-1.115793,-3.656459,-4.694092,-5.187915,-0.1054398,-1.070551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
71,0,4,-3.535944,#NAME?,-5.243498,-0.9292497,-0.4977357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
72,0,3,-5.177113,-2.831991,-4.021317,-3.10514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
73,0,17,-2.715695,-4.561965,-1.275931,-3.604433,-0.5861606,-2.562653,-0.30103,-0.5873367,-0.2914847,-4.451095,-6.258251,-1.501402,-0.8335962,-3.688706,-4.716993,-2.639095,-0.4281348,-0.3495196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
74,0,11,-5.512905,-2.836923,-1.816829,-4.541199,-1.254587,-4.698228,-2.123818,-1.203928,-4.923543,-3.616873,-0.872935,-0.6419315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
75,0,5,-3.501123,-4.428232,-4.016349,-4.803008,-4.215259,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
76,0,5,-6.527233,-4.789883,-2.790681,-4.021317,-6.976837,-2.081812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
77,0,10,-4.562703,-3.162964,-3.848616,-1.475477,-4.398068,-4.148471,-4.145011,-1.824189,-5.146151,-4.573656,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
78,0,3,-5.114965,-6.559027,-4.426789,-1.035246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
79,0,3,-5.114965,-6.559027,-4.426789,-1.035246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
80,0,3,-5.114965,-6.559027,-4.426789,-1.035246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
81,0,22,-3.527254,-0.7929906,-3.419492,-3.465511,-4.343062,-3.559633,-1.364868,-1.887944,-1.814647,-1.595909,-5.503237,-3.309845,-3.50789,-1.502383,-5.665721,-0.8566467,-5.357306,-2.23444,-1.201748,#NAME?,-5.243498,-0.9292497,-0.4977357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
82,0,11,-2.896868,-2.394189,-6.220491,-1.362167,-3.599675,-7.32307,-1.343769,-5.769242,-1.362167,-3.9506,-1.018975,-0.3348255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
83,0,12,-4.481497,-3.301438,-2.467896,-3.89058,-3.511828,-0.3454795,-4.176361,-3.09117,-0.3454795,-4.176361,-3.09117,-1.14178,-0.4893557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
84,0,6,-5.269867,-6.171178,-4.651306,-4.473965,-5.281268,-4.216823,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
85,0,12,-5.445959,-5.516713,-5.916529,-0.5811261,-3.565393,-6.812079,-4.459302,-0.8431792,-3.091558,-4.095601,-2.485643,-0.8904854,-0.5267392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
86,0,12,-3.663691,-0.4659978,-3.953851,-2.465381,-2.797758,-2.139015,-1.691418,#NAME?,-3.575517,-1.234877,-3.569167,-1.180413,-0.4024876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
