SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfTranslationOfFirstCodeSwitchedWord,AverageSurprisalOfTranslationOfSwitchPointWords,AverageSurprisalOfTranslationOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
1781,5,4.2043392,6.522021,6.522021,6.522021,2.899935,cmucssa
1783,13,3.679173523,3.685662,4.0512435,2.976115467,2.992377646,cmucssa
1784,5,4.0340442,5.641469,5.641469,5.641469,2.9057504,cmucssa
1787,4,2.975500175,4.836212,4.836212,4.836212,1.766447175,cmucssa
1789,6,4.757777,4.836212,6.336719,5.337928333,2.088812833,cmucssa
1796,18,3.925691122,4.836212,4.836212,3.721435727,1.6514804,cmucssa
1797,12,4.012024,3.238747,3.238747,4.402191,2.91147625,cmucssa
1798,12,3.349298958,3.238747,3.238747,4.402191,2.248751208,cmucssa
1799,17,3.612983424,3.238747,3.238747,4.402191,2.836126188,cmucssa
1800,23,3.72199426,3.942154,4.4275225,3.507136033,2.807089208,cmucssa
1802,40,3.25188841,5.060042,5.060042,2.396847,3.072124885,cmucssa
1804,12,4.759374792,5.258593,5.258593,5.4750095,2.934371625,cmucssa
1805,17,3.323301794,7.55146,7.55146,7.0846245,2.489816559,cmucssa
1807,13,4.332864462,5.550694,5.550694,5.550694,3.905888,cmucssa
1810,7,3.560797286,5.550694,5.550694,5.550694,2.767841,cmucssa
1813,11,4.535321364,5.584603,5.584603,3.4328995,3.911157818,cmucssa
1814,23,3.678812278,4.263448,4.130307667,3.940801167,2.650777191,cmucssa
1815,10,3.00086287,5.688997,5.688997,4.9949315,2.00187657,cmucssa
1816,9,4.0788302,5.550694,5.550694,5.550694,3.462086422,cmucssa
1817,11,3.227959091,4.40721,4.40721,2.662940667,2.501702545,cmucssa
1818,10,3.7011118,7.564995,7.564995,5.212768,2.1372814,cmucssa
1820,20,4.496577425,5.450413,5.450413,5.450413,4.224056775,cmucssa
1822,6,4.659232667,5.170496,5.170496,5.170496,3.797483333,cmucssa
1824,11,4.0364182,6.351456,6.351456,6.351456,3.459013109,cmucssa
1826,10,4.0834851,6.735521,6.025561,6.025561,2.8783729,cmucssa
1827,13,3.466315546,3.655953,4.6463165,5.20307025,1.865370854,cmucssa
1829,5,3.1863416,3.514719,3.514719,2.435259,2.212238,cmucssa
1832,7,3.129504143,6.137432,6.137432,3.5743565,2.108259429,cmucssa
1833,10,3.3795112,4.772542,4.772542,6.509371,2.077637,cmucssa
1834,12,3.736280833,7.751954,5.9940315,5.9940315,2.737275583,cmucssa
1835,8,3.870466625,5.255599,5.255599,5.255599,3.21351675,cmucssa
1837,10,3.610086,7.102918,7.102918,4.291066,2.7518728,cmucssa
1839,15,3.1519344,6.497606,6.497606,6.497606,2.718760667,cmucssa
1840,9,3.662000444,4.772542,4.772542,6.509371,2.215473556,cmucssa
1841,5,4.868914,10.16642,10.16642,5.3342885,0.6014832,cmucssa
1844,9,3.745562,6.911184,6.911184,6.911184,2.977652667,cmucssa
1845,7,4.813909857,4.772542,4.772542,6.509371,2.954089571,cmucssa
1849,16,3.022644119,4.496672,4.496672,4.2169665,2.495523306,cmucssa
1850,7,4.065048,3.774104,3.774104,4.394353,2.181753857,cmucssa
1851,21,2.830378305,3.474481,3.474481,3.474481,2.664926829,cmucssa
1852,4,4.79778775,4.772542,4.772542,6.509371,1.54310225,cmucssa
1853,16,3.393610931,3.90725,3.90725,3.715706,2.929147681,cmucssa
1854,4,4.33991025,5.478143,5.478143,5.478143,2.9703745,cmucssa
1858,11,3.937964636,4.228883,4.228883,2.948908333,3.133716909,cmucssa
1863,8,3.641829637,5.673716,5.673716,5.673716,2.932615137,cmucssa
1865,19,3.537349295,5.550694,5.550694,5.550694,3.245207505,cmucssa
1866,6,4.601176,5.637844,5.357169,4.9160495,1.323809667,cmucssa
1867,3,5.493007333,6.244826,6.244826,5.420589,1.879281333,cmucssa
1870,19,2.886079316,4.390639,5.22495,3.6240163,1.932390816,cmucssa
1874,14,3.92778745,4.550654,4.550654,4.32954223,0.835257286,cmucssa
1875,14,3.704586271,5.035784,5.035784,5.933748333,2.433068771,cmucssa
1876,6,3.802687767,6.901721,6.901721,6.901721,2.652400933,cmucssa
1877,25,3.25575648,4.00363,2.40320185,2.857053233,2.912910092,cmucssa
1880,15,2.77562006,3.142399,3.120494,2.3578323,2.3040536,cmucssa
1882,12,3.380086858,6.874934,6.874934,6.874934,2.807175692,cmucssa
1883,9,3.347245989,5.242066,5.242066,5.319067,2.1652311,cmucssa
1884,5,3.435324,8.677697,8.677697,8.677697,1.6997846,cmucssa
1885,9,3.623755889,7.545484,7.545484,5.8403985,2.325889556,cmucssa
1886,21,4.139587714,3.075613,4.9369245,3.901234,3.396495524,cmucssa
1887,14,2.980255793,6.100998,6.100998,5.0569325,2.257836864,cmucssa
