SentenceID,NumberOfWords,AverageSurprisalWithPunct,CorpusName
437,9,3.6109565111111106,pittcssa
438,10,2.9062518,pittcssa
439,7,4.329525714285714,pittcssa
440,4,4.609752749999999,pittcssa
443,4,4.736840249999999,pittcssa
444,7,3.216151285714286,pittcssa
445,7,3.4494754285714286,pittcssa
446,8,2.9957330875,pittcssa
447,12,3.95835445,pittcssa
448,7,4.050882285714286,pittcssa
449,7,3.427581142857143,pittcssa
450,3,3.5753493333333335,pittcssa
452,6,3.1712201666666666,pittcssa
453,3,4.073328233333333,pittcssa
454,3,4.437405666666667,pittcssa
455,13,4.394626807692308,pittcssa
456,5,3.3061239999999996,pittcssa
457,6,4.271443166666667,pittcssa
458,3,3.6255736666666665,pittcssa
459,5,2.6758968,pittcssa
460,3,3.8044983333333335,pittcssa
461,3,4.043188333333334,pittcssa
462,3,2.7965249999999995,pittcssa
463,3,3.2286259999999998,pittcssa
464,8,3.5688929375,pittcssa
465,10,2.65724316,pittcssa
466,9,3.550122233333333,pittcssa
467,16,2.631843768749999,pittcssa
468,9,3.328170566666666,pittcssa
469,4,3.11157125,pittcssa
470,4,4.04100575,pittcssa
471,7,3.1103492999999998,pittcssa
472,3,4.227365,pittcssa
473,6,3.4221034666666665,pittcssa
475,3,2.92388,pittcssa
476,3,4.416825333333333,pittcssa
477,20,3.4538101899999996,pittcssa
478,15,2.82974,pittcssa
480,6,4.380089966666666,pittcssa
481,15,3.4182749666666665,pittcssa
483,4,4.59826375,pittcssa
484,3,2.5579603333333334,pittcssa
485,3,2.9857305000000003,pittcssa
486,3,2.92388,pittcssa
488,15,3.7463843333333338,pittcssa
489,7,4.088762871428572,pittcssa
490,3,4.143623,pittcssa
491,6,3.5105190000000004,pittcssa
492,7,2.755079857142857,pittcssa
493,3,2.710574,pittcssa
494,4,3.4350164750000003,pittcssa
495,3,3.9425157,pittcssa
496,4,4.527975025,pittcssa
497,3,4.051278,pittcssa
498,4,4.508157,pittcssa
499,3,4.051278,pittcssa
500,11,3.926037227272727,pittcssa
501,5,1.9459176399999998,pittcssa
502,5,3.5011567999999995,pittcssa
504,6,3.938614166666667,pittcssa
505,7,3.322380142857143,pittcssa
507,8,3.2970232500000005,pittcssa
508,22,3.5493238227272728,pittcssa
509,15,3.3104425,pittcssa
510,3,4.688850333333334,pittcssa
511,7,3.9277179,pittcssa
512,4,4.70887675,pittcssa
513,7,2.483403857142857,pittcssa
514,3,3.281378,pittcssa
515,5,2.9383696,pittcssa
516,7,3.516725857142857,pittcssa
517,14,3.5864993571428565,pittcssa
518,10,3.3578283000000004,pittcssa
520,7,3.699505142857143,pittcssa
522,3,5.999741333333334,pittcssa
524,6,5.303446,pittcssa
525,6,4.115099166666667,pittcssa
526,11,2.8629470272727273,pittcssa
527,4,3.719703,pittcssa
528,5,3.5683059999999998,pittcssa
529,10,4.200384600000001,pittcssa
530,5,4.8748214,pittcssa
531,8,4.235589,pittcssa
533,4,3.6504402500000004,pittcssa
534,11,3.420573545454545,pittcssa
535,5,4.9458418,pittcssa
537,4,3.257472025,pittcssa
540,5,2.8504714600000005,pittcssa
541,4,3.8327507499999998,pittcssa
542,12,3.981158666666667,pittcssa
543,4,3.8313315,pittcssa
544,3,3.375982,pittcssa
545,4,4.5840570000000005,pittcssa
546,5,3.26614,pittcssa
547,3,4.742261,pittcssa
548,5,3.7415604399999998,pittcssa
549,10,3.5124313999999996,pittcssa
550,3,3.159079,pittcssa
552,6,3.2918275500000003,pittcssa
553,26,2.8782256615384623,pittcssa
554,14,3.5533664071428572,pittcssa
555,6,4.690867166666667,pittcssa
556,4,6.14446525,pittcssa
558,6,2.9358878666666666,pittcssa
559,4,4.12164375,pittcssa
560,5,3.8017422400000003,pittcssa
561,8,2.8739907875000004,pittcssa
562,11,3.772438781818181,pittcssa
563,5,3.831328,pittcssa
564,7,3.8603250000000005,pittcssa
565,5,3.83864278,pittcssa
567,4,3.0711496749999996,pittcssa
568,3,5.692864333333333,pittcssa
569,5,3.7838328000000003,pittcssa
570,8,3.3146248750000007,pittcssa
572,7,3.300022657142857,pittcssa
573,9,2.8110229666666666,pittcssa
574,11,3.4787023363636367,pittcssa
575,6,4.239931333333334,pittcssa
576,3,4.112834,pittcssa
577,6,4.167554666666667,pittcssa
578,5,4.0944291999999995,pittcssa
579,4,3.625085,pittcssa
580,12,3.333789825,pittcssa
582,5,3.3388910000000003,pittcssa
583,3,4.6993073333333335,pittcssa
584,15,3.9620996533333335,pittcssa
585,6,4.273366,pittcssa
586,4,3.71515875,pittcssa
587,7,4.667343571428572,pittcssa
588,6,3.620601166666667,pittcssa
589,5,3.7888568,pittcssa
590,5,2.8504714600000005,pittcssa
591,3,3.921196333333333,pittcssa
592,8,3.6965958625000006,pittcssa
593,4,3.93364925,pittcssa
594,3,2.671644666666667,pittcssa
595,3,2.5257253333333334,pittcssa
596,3,4.619617666666667,pittcssa
597,4,4.5112345000000005,pittcssa
598,13,3.0354226307692307,pittcssa
599,4,4.33581675,pittcssa
600,6,4.1081571666666665,pittcssa
601,7,3.826622714285714,pittcssa
