SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfFirstCodeSwitchedWord,AverageSurprisalOfSwitchPointWords,AaverageSurprisalOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
148,14,3.3173482714285716,6.833535,6.833535,4.0976315,2.7319723428571434,psucssa
149,4,2.705618675,2.891236,2.891236,2.891236,1.9828096750000002,psucssa
151,7,3.2891828428571435,6.258925,6.258925,6.258925,2.3950506999999996,psucssa
152,7,5.380146142857142,3.578183,3.578183,5.688649000000001,0.5041612857142858,psucssa
154,7,1.9896478428571431,4.404566,4.404566,3.4240250000000003,1.0113549857142858,psucssa
156,5,4.9941054000000005,4.323356,4.323356,5.403937666666667,1.7517428000000002,psucssa
157,14,3.3217558142857144,5.749864,5.749864,4.078151,2.739162814285714,psucssa
158,9,3.8318285555555556,6.186459,6.186459,4.464938200000001,1.3513073333333334,psucssa
160,34,3.048698002941176,3.848057,2.8817614999999996,2.597718333333333,2.8194875617647055,psucssa
161,22,3.3898099045454546,5.414762,5.414762,4.7002884,2.3215625409090905,psucssa
162,6,4.063300416666666,6.304888,6.304888,6.304888,3.01248575,psucssa
164,6,4.448777833333333,7.042348,7.042348,7.042348,3.2750531666666665,psucssa
165,6,4.448777833333333,7.042348,7.042348,7.042348,3.2750531666666665,psucssa
166,9,3.882305444444444,2.184703,2.184703,4.036932666666666,2.5366612222222225,psucssa
169,22,3.2879780090909096,7.023832,7.023832,5.6884855,2.770842963636364,psucssa
170,10,2.7061719699999998,5.211875,5.211875,3.1693995,2.07229207,psucssa
172,7,4.338565571428572,4.086764,5.6702675,4.54723375,1.7401462857142858,psucssa
174,18,3.910154227777778,5.659119,5.089966,5.089966,3.3446024499999996,psucssa
175,7,3.698590285714286,7.042348,7.042348,7.042348,2.692540571428571,psucssa
176,7,3.6773396,4.579249,6.1032895,5.28351325,0.6581891714285714,psucssa
177,13,3.9287425153846156,6.067103,6.5503035,6.5503035,2.9210035153846152,psucssa
179,14,3.8651189857142856,4.860924,5.795958499999999,4.861300249999999,2.4761760571428573,psucssa
183,27,3.326447640740741,3.600628,3.168643,2.939634,2.673195640740741,psucssa
184,27,3.326447640740741,3.600628,3.168643,2.939634,2.673195640740741,psucssa
186,9,3.960823222222222,2.791026,1.7430505,2.9843818,2.302833333333333,psucssa
188,14,3.238120214285715,2.737488,2.737488,2.83231,2.428888785714286,psucssa
189,9,3.960823222222222,2.791026,1.7430505,2.9843818,2.302833333333333,psucssa
190,13,3.125815830769231,2.530055,2.530055,3.4546645,2.0628421384615385,psucssa
192,8,4.470543875000001,2.791026,2.791026,3.5567085,2.6921896249999997,psucssa
193,12,3.534566925,5.742532,5.742532,5.742532,3.056022591666667,psucssa
195,5,5.3007346,5.230359,5.230359,5.678891500000001,3.0291779999999995,psucssa
196,11,3.5081766363636357,4.129275,3.2923245,3.108233333333333,2.6604766363636365,psucssa
197,9,4.038795444444444,5.612209,6.4330525000000005,6.4330525000000005,2.6092282222222223,psucssa
199,8,4.470543875000001,2.791026,2.791026,3.5567085,2.6921896249999997,psucssa
200,8,4.470543875000001,2.791026,2.791026,3.5567085,2.6921896249999997,psucssa
201,8,4.470543875000001,2.791026,2.791026,3.5567085,2.6921896249999997,psucssa
203,8,4.470543875000001,2.791026,2.791026,3.5567085,2.6921896249999997,psucssa
204,8,4.470543875000001,2.791026,2.791026,3.5567085,2.6921896249999997,psucssa
205,4,4.06610875,4.366563,4.366563,3.598825,2.26669625,psucssa
208,11,3.930067072727272,5.905314,5.905314,5.905314,3.3932203454545458,psucssa
209,6,4.3178675166666665,8.397801,8.397801,8.397801,2.9182340166666667,psucssa
210,8,2.9318132,2.831261,2.831261,1.69776625,2.5073716375,psucssa
211,22,3.1991684727272727,7.042348,7.042348,7.042348,2.8790617454545457,psucssa
212,34,3.2490821235294116,7.919408,7.919408,7.919408,3.016158358823529,psucssa
213,17,3.2301375411764703,8.173179,8.173179,8.173179,2.749362305882353,psucssa
214,12,3.8870825833333336,8.122005,5.878266,3.6392865,2.6739870833333335,psucssa
215,20,3.841422610000001,8.068028,8.068028,8.068028,3.4380212099999996,psucssa
216,7,4.0112745,7.042348,7.042348,7.042348,3.0052247857142858,psucssa
218,14,3.563808592857143,7.042348,7.042348,7.042348,3.0607837357142853,psucssa
219,17,2.9226131411764706,3.136046,4.259109,2.9968775,1.864891670588235,psucssa
220,9,3.565523333333333,7.042348,7.042348,7.042348,2.783040222222222,psucssa
221,8,3.172620975,8.122066,8.122066,8.122066,2.157362725,psucssa
222,18,3.2736039444444445,7.042348,7.042348,7.042348,2.8823623888888887,psucssa
223,24,3.659488820833333,4.525074,4.525074,5.673414599999999,2.4775274458333336,psucssa
224,17,3.2346301941176465,8.16631,8.16631,8.16631,2.7542590176470587,psucssa
225,25,2.969918744,7.892808,7.892808,7.892808,2.6542064240000003,psucssa
226,20,2.83929187,8.204341,8.204341,4.8200435,2.3572875200000003,psucssa
227,16,3.2096203125000007,7.042348,7.042348,7.042348,2.7694735625000004,psucssa
229,9,3.5758503333333334,7.144316,7.144316,7.144316,2.7820374444444442,psucssa
230,7,3.3518371000000005,6.100998,6.100998,5.2388865,1.8550123857142857,psucssa
231,8,4.470543875000001,2.791026,2.791026,3.5567085,2.6921896249999997,psucssa
232,8,4.470543875000001,2.791026,2.791026,3.5567085,2.6921896249999997,psucssa
233,8,4.470543875000001,2.791026,2.791026,3.5567085,2.6921896249999997,psucssa
234,8,4.470543875000001,2.791026,2.791026,3.5567085,2.6921896249999997,psucssa
235,6,4.3932503333333335,6.521814,6.521814,6.521814,3.306281333333333,psucssa
236,9,4.1363389999999995,5.341364,5.341364,5.09103,3.0049989999999998,psucssa
237,8,4.470543875000001,2.791026,2.791026,3.5567085,2.6921896249999997,psucssa
238,8,4.470543875000001,2.791026,2.791026,3.5567085,2.6921896249999997,psucssa
239,2,5.6575135,6.522281,6.522281,6.522281,2.396373,psucssa
240,5,4.3409486,2.715695,2.715695,4.3409486,0.0,psucssa
241,6,4.930034,5.685495,5.9890325,5.9890325,2.9336898333333337,psucssa
242,6,4.930034,5.685495,5.9890325,5.9890325,2.9336898333333337,psucssa
243,11,4.104018945454546,6.77676,6.77676,6.77676,3.487949854545455,psucssa
244,9,4.613255777777778,3.918144,4.822642,5.07729825,2.356678777777778,psucssa
245,10,3.93805316,5.162904,5.343389,3.975148666666667,2.74550856,psucssa
246,4,4.6044270575,7.641098,7.641098,6.9697825,1.1195358075000001,psucssa
247,5,4.3409486,2.715695,2.715695,4.3409486,0.0,psucssa
